,0
1376,1
1377,0
1378,2
1379,0
1380,0
1381,0
1382,1
1383,0
1384,0
1385,2
1386,0
1387,0
1388,0
1389,2
1390,1
1391,0
1392,1
1393,1
1394,0
1395,1
1396,1
1397,2
1398,1
1399,1
1400,3
1401,1
1402,3
1403,1
1404,0
1405,0
1406,1
1407,1
1408,1
1409,1
1410,1
1411,2
1412,1
1413,0
1414,0
1415,0
1416,0
1417,1
1418,0
1419,2
1420,1
1421,1
1422,0
1423,0
1424,0
1425,1
1426,1
1427,1
1428,1
1429,0
1430,0
1431,1
1432,1
1433,0
1434,2
1435,1
1436,1
1437,1
1438,1
1439,2
1440,4
1441,0
1442,1
1443,1
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,1
1452,2
1453,0
1454,0
1455,0
1456,0
1457,2
1458,0
1459,1
1460,1
1461,1
1462,1
1463,1
1464,1
1465,0
1466,0
1467,0
1468,0
1469,1
1470,0
1471,1
1472,2
1473,0
1474,0
1475,0
1476,0
1477,1
1478,0
1479,2
1480,0
1481,0
1482,0
1483,3
1484,0
1485,0
1486,0
1487,2
1488,0
1489,1
1490,1
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,1
1506,1
1507,0
1508,0
1509,1
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,1
1517,0
1518,0
1519,0
1520,0
1521,0
1522,1
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,2
1531,3
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,1
1545,0
1546,0
1547,0
1548,0
1549,0
1550,1
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,1
1559,0
1560,2
1561,0
1562,0
1563,0
1564,1
1565,1
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,1
1575,0
1576,0
1577,0
1578,0
1579,0
1580,1
1581,0
1582,1
1583,0
1584,0
1585,0
1586,1
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,2
1594,4
1595,1
1596,0
1597,0
1598,1
1599,0
1600,0
1601,1
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,1
1613,0
1614,0
1615,1
1616,0
1617,0
1618,0
1619,0
1620,0
1621,0
1622,3
1623,1
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,1
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,1
1640,0
1641,0
1642,0
1643,1
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,3
1651,0
1652,1
1653,0
1654,0
1655,0
1656,1
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,1
1669,0
1670,0
1671,1
1672,0
1673,1
1674,1
1675,2
1676,2
1677,1
1678,0
1679,0
1680,0
1681,1
1682,0
1683,0
1684,0
1685,1
1686,0
1687,2
1688,0
1689,1
1690,0
1691,1
1692,1
1693,1
1694,2
1695,1
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,1
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,1
1712,1
1713,0
1714,0
1715,0
1716,1
1717,0
1718,0
1719,1
1720,2
1721,2
1722,1
1723,0
1724,1
1725,1
1726,0
1727,1
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,2
1736,2
1737,0
1738,1
1739,0
1740,0
1741,0
1742,1
1743,1
1744,0
1745,0
1746,1
1747,0
1748,0
1749,1
1750,3
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
